attendance,internal,participation,assignment,quiz,midsem,risk
89,19,6,17,6,0,Low
67,13,7,1,0,32,Low
67,11,7,8,6,6,High
76,6,2,23,6,8,High
80,13,4,16,19,0,Low
75,14,5,13,6,15,Medium
66,6,1,3,7,17,High
93,23,1,16,15,5,Low
56,15,3,16,2,1,Medium
48,17,3,11,12,8,Medium
72,14,8,19,9,3,Low
92,18,9,17,17,22,Low
59,22,1,2,6,7,High
52,23,2,10,4,38,Medium
67,13,2,24,6,24,Low
87,11,4,17,16,15,Medium
68,7,2,3,3,34,Medium
52,24,7,16,15,16,Medium
85,10,9,17,18,17,Medium
74,6,7,4,9,26,Medium
45,10,6,13,2,14,High
57,7,1,9,2,16,High
90,20,9,14,16,4,Low
44,12,5,0,9,15,High
86,6,5,15,16,14,Medium
64,21,6,10,16,33,Low
41,13,9,22,3,18,Medium
49,16,8,19,5,7,Medium
95,7,8,5,11,9,Medium
69,15,8,23,19,4,Low
89,5,1,21,16,25,Low
98,17,1,15,16,21,Low
84,19,8,1,9,22,Low
44,9,5,0,6,12,High
94,21,9,23,15,8,Low
95,10,2,23,12,19,Medium
72,15,9,8,2,27,Low
93,22,8,21,1,36,Low
40,8,9,11,15,23,Medium
57,7,4,16,5,32,Medium
71,17,1,24,5,19,Low
86,13,1,14,12,29,Low
88,10,5,18,6,8,Medium
50,16,2,21,4,16,High
60,6,8,9,6,35,Medium
65,7,5,11,1,13,Medium
64,7,5,13,16,18,Low
61,16,2,8,12,6,Medium
98,19,7,12,15,2,Low
66,13,8,2,19,32,Low
88,12,1,20,1,31,Low
52,15,2,13,4,10,Medium
72,20,4,20,17,1,Low
73,8,5,9,6,25,Medium
80,5,2,15,10,3,Medium
74,11,1,6,10,16,High
40,6,9,3,16,16,High
60,9,1,19,15,27,Medium
87,11,4,22,12,29,Low
94,8,2,24,4,39,Medium
45,9,4,10,19,22,Medium
67,5,8,15,15,23,Low
56,5,8,19,15,28,Medium
44,19,9,3,15,3,Medium
70,24,5,21,13,37,Low
44,23,7,21,5,28,Medium
77,14,3,22,1,18,Low
42,22,4,16,13,26,Low
92,7,9,12,15,28,Low
62,15,1,10,19,35,Low
76,19,2,2,12,34,Low
92,15,5,8,14,5,Medium
76,21,3,5,11,22,Low
49,21,2,21,8,38,Low
49,10,1,20,17,7,High
58,9,3,10,13,1,High
56,12,1,15,19,12,Medium
60,6,1,18,3,39,Medium
53,20,1,4,7,20,High
48,24,8,13,7,30,Low
85,16,3,16,15,35,Low
40,10,1,2,9,37,High
90,5,7,3,16,26,Medium
84,8,3,15,0,35,Medium
52,21,8,15,17,22,Low
43,17,4,20,9,20,Low
40,22,4,24,3,12,Medium
88,9,5,3,0,36,Medium
79,7,6,18,3,25,Low
71,15,7,16,3,39,Low
73,17,4,12,3,6,Low
67,8,8,21,16,38,Low
70,18,6,22,8,21,Low
47,15,1,23,18,38,Low
78,14,1,0,12,22,Low
65,23,9,11,3,29,Low
97,22,6,3,4,17,Medium
73,10,8,10,12,17,Medium
93,19,7,4,15,9,Medium
93,14,6,1,4,38,Medium
42,9,4,16,7,29,Medium
98,9,7,7,15,25,Medium
89,14,9,5,0,6,Medium
51,9,7,20,5,6,High
40,7,1,8,10,4,High
93,10,9,12,15,0,Medium
83,8,4,10,4,17,Medium
44,22,3,15,15,12,Medium
69,13,4,15,6,24,Low
69,21,4,1,18,39,Low
98,17,2,9,0,7,Medium
96,19,1,11,8,9,Low
56,24,1,7,17,31,Medium
87,21,8,10,12,16,Low
86,17,2,9,14,37,Low
62,20,5,12,2,14,Low
54,8,4,24,9,14,Medium
76,9,8,16,8,39,Low
60,9,2,6,12,19,Medium
53,13,9,23,15,14,Medium
41,21,7,2,2,34,Medium
50,17,7,19,14,5,Medium
90,6,1,12,16,29,Low
78,17,2,18,13,7,Low
77,23,4,6,6,30,Low
99,7,4,8,19,31,Medium
73,14,3,18,15,14,Low
77,6,7,12,7,17,Medium
89,17,8,21,3,12,Medium
73,23,2,7,19,23,Low
57,21,4,21,14,39,Low
69,18,3,17,4,13,Medium
54,16,2,22,12,27,Medium
66,16,6,1,5,10,Medium
90,15,4,17,4,5,Medium
73,11,6,17,16,24,Low
91,8,2,10,6,0,High
96,23,4,0,5,24,Medium
77,5,6,13,1,1,Medium
72,7,5,15,10,31,Low
63,17,3,10,6,12,Medium
54,19,8,0,7,32,Medium
99,6,7,6,4,31,Medium
69,15,3,15,17,23,Low
94,8,6,13,15,26,Low
81,23,4,14,13,3,Low
90,21,5,13,11,23,Low
56,7,5,20,16,22,Medium
44,22,7,10,4,28,Medium
68,12,5,15,13,33,Low
43,23,3,18,5,20,Medium
49,9,5,16,14,29,Medium
95,11,7,5,6,25,Medium
56,12,5,10,13,19,Low
49,9,5,16,17,15,Medium
56,21,9,8,0,2,High
99,9,3,17,5,36,Medium
59,8,6,16,2,39,Medium
63,23,1,11,4,24,Low
44,6,5,22,11,22,Medium
73,15,8,21,10,0,Low
45,17,5,21,12,32,Low
92,19,9,4,15,14,Medium
41,16,6,10,17,16,Medium
52,15,8,3,16,33,Medium
82,11,8,3,16,16,Medium
82,9,3,2,10,3,High
87,21,7,23,19,12,Low
50,24,7,22,9,3,Medium
90,13,6,24,15,6,Low
86,18,7,16,1,8,Low
96,16,2,6,16,22,Medium
62,10,9,3,19,32,Medium
94,21,1,22,9,32,Low
55,23,1,12,12,19,Medium
70,23,3,11,11,3,Medium
50,20,3,0,14,0,High
93,16,1,20,6,33,Low
55,16,7,18,12,26,Low
47,24,4,20,11,20,Low
43,10,2,19,11,23,Medium
79,8,5,17,1,14,Medium
43,10,6,10,4,34,Medium
95,15,9,19,1,24,Low
64,5,4,2,19,8,High
42,19,2,16,12,16,Medium
71,15,5,11,2,20,Low
42,23,3,9,10,12,High
66,22,2,7,15,2,Medium
68,21,1,14,0,3,Medium
71,23,2,4,18,3,Medium
89,18,6,3,10,27,Low
97,22,8,20,8,6,Low
90,23,3,19,13,25,Low
58,19,9,18,8,10,Medium
60,19,9,20,6,23,Low
44,8,2,3,15,9,High
57,11,8,14,2,36,Medium
67,17,5,16,18,12,Low
81,7,4,11,3,38,Medium
61,20,5,2,6,18,Medium
60,13,4,9,11,18,Low
45,12,8,14,17,11,Medium
40,24,4,9,4,21,Medium
44,17,6,23,9,36,Low
80,21,2,22,11,29,Low
51,21,5,17,7,11,Medium
65,21,6,0,18,28,Low
85,5,5,2,14,20,Medium
73,12,2,20,0,10,Medium
88,23,7,11,2,36,Low
53,10,4,0,17,17,High
65,7,8,2,17,26,Medium
84,9,7,2,1,36,Medium
66,17,7,4,4,11,Medium
48,19,9,18,0,22,Low
65,18,1,24,9,33,Low
96,20,6,0,19,37,Low
86,22,6,3,9,22,Low
96,15,6,3,4,24,Medium
61,7,6,16,17,3,Medium
86,14,7,13,14,29,Low
95,14,6,17,19,29,Low
69,20,1,0,7,12,Medium
82,16,3,21,16,13,Low
87,6,2,15,11,7,Medium
56,13,6,2,11,23,Medium
65,7,8,22,0,17,Medium
75,19,3,20,3,34,Low
40,7,8,8,7,24,High
47,23,8,22,0,16,Medium
88,22,5,3,14,31,Low
74,12,8,20,17,23,Low
91,21,6,4,0,6,Medium
54,12,5,10,10,12,Medium
86,11,9,20,1,26,Medium
95,11,7,8,0,4,High
61,7,8,2,11,35,Medium
53,5,1,5,15,25,High
65,8,2,23,9,30,Low
67,9,8,10,17,9,Medium
62,5,9,8,14,25,Medium
53,19,4,14,16,21,Low
63,9,9,22,9,11,Medium
41,17,4,2,2,31,Medium
84,12,9,0,15,26,Low
65,12,7,19,5,32,Low
53,9,2,21,2,19,High
98,13,9,18,8,38,Low
95,5,4,13,10,39,Low
90,8,8,16,12,12,Medium
46,7,7,21,17,13,Medium
42,6,7,13,3,39,Medium
86,12,8,16,7,21,Low
62,13,1,24,12,17,Low
85,6,5,13,9,28,Low
82,18,2,11,1,15,Medium
86,18,2,15,7,34,Low
99,8,1,0,5,33,High
84,10,5,12,15,2,Medium
57,15,2,5,17,3,High
97,7,4,16,16,4,Medium
77,12,3,11,5,9,Medium
74,7,3,22,12,28,Low
90,18,2,18,13,31,Low
54,17,6,5,9,30,Medium
64,17,2,6,10,1,Medium
94,6,8,0,12,11,Medium
76,17,8,0,11,26,Low
67,23,5,4,8,4,Medium
49,10,7,5,3,36,High
78,20,4,15,6,26,Low
96,6,1,24,1,22,Medium
56,12,2,15,6,32,Medium
78,21,4,13,8,3,Low
61,6,1,0,4,20,High
65,14,8,12,14,23,Low
83,20,9,19,17,30,Low
64,10,4,9,3,23,Medium
56,6,3,23,18,9,High
52,6,2,9,19,1,High
59,17,5,8,6,30,Medium
64,19,3,12,7,24,Low
43,6,7,2,16,3,High
49,11,6,17,12,10,High
42,7,1,19,10,16,High
80,12,8,1,0,1,Medium
84,18,2,16,1,5,Medium
57,11,5,18,16,8,Medium
86,11,9,22,4,4,Medium
75,5,8,12,5,19,Medium
86,21,2,12,6,28,Low
61,13,9,0,14,20,Low
73,17,5,1,18,8,Medium
86,23,6,0,15,27,Low
47,23,3,23,12,7,Medium
79,21,3,4,4,30,Medium
88,14,8,23,2,19,Low
83,14,2,2,2,26,Medium
58,8,2,6,18,7,High
81,12,5,23,13,20,Low
80,24,6,21,15,27,Low
76,24,2,12,16,22,Low
45,22,5,22,3,5,Medium
91,18,7,17,12,2,Low
65,22,8,23,7,4,Low
73,18,7,20,18,8,Low
98,24,8,6,4,6,Medium
95,19,9,0,1,3,Medium
98,8,5,4,14,38,Medium
84,17,5,16,1,4,Low
45,12,4,7,10,10,Medium
76,22,9,14,12,14,Low
96,16,5,19,9,33,Low
72,18,2,3,2,12,Medium
92,6,8,1,4,6,High
61,22,7,4,2,39,Low
60,6,8,0,5,5,High
45,15,3,24,12,38,Medium
45,13,4,4,9,29,Medium
94,16,5,5,18,21,Low
87,21,6,1,7,24,Low
43,19,1,0,17,27,Medium
69,21,4,3,2,19,Medium
50,22,5,6,16,38,Medium
69,10,7,21,7,2,Medium
70,21,5,0,9,4,Medium
63,22,1,0,1,0,High
94,12,7,7,11,14,Medium
48,13,8,19,5,25,Medium
94,10,7,15,1,2,Medium
42,9,4,20,2,39,Medium
90,16,8,12,16,33,Low
70,15,5,22,6,4,Low
79,5,9,23,4,30,Low
76,15,5,22,0,12,Medium
75,23,1,17,7,0,Medium
63,13,9,19,11,21,Low
70,6,5,9,13,14,Medium
45,16,6,11,15,25,Low
41,8,4,0,9,17,High
59,8,6,9,14,8,High
67,22,8,8,14,0,Medium
50,19,3,2,9,8,High
43,23,5,18,6,22,Low
54,17,2,8,2,1,High
45,23,2,9,1,13,High
93,21,7,18,5,37,Low
88,10,6,15,8,39,Low
69,20,4,23,9,17,Low
95,16,5,17,3,15,Low
77,23,1,13,2,28,Low
90,9,7,2,8,10,Medium
96,21,8,1,16,5,Medium
41,5,9,0,13,2,High
54,14,8,17,9,13,Medium
50,19,5,23,12,1,Medium
47,15,3,8,11,31,Medium
65,17,9,12,0,30,Low
90,9,6,1,18,10,Medium
84,5,5,6,18,21,Medium
83,16,3,15,5,2,Medium
44,15,6,20,12,30,Low
45,21,3,18,18,32,Low
65,8,6,24,12,23,Low
93,19,4,14,3,0,Low
43,13,2,21,1,14,High
58,24,8,10,14,36,Low
59,23,4,0,11,26,Medium
72,23,9,20,6,37,Low
59,16,7,6,19,26,Medium
88,9,2,19,17,11,Medium
51,14,4,7,12,2,High
86,21,5,9,16,29,Low
40,9,3,4,3,31,High
65,20,9,8,13,22,Low
53,11,5,24,19,1,High
77,13,2,24,12,6,Medium
76,7,3,0,2,33,High
50,19,9,1,17,31,Medium
75,20,7,18,13,38,Low
52,22,2,13,14,31,Low
82,18,9,19,2,13,Low
42,7,4,9,0,2,High
72,16,9,8,16,31,Low
45,13,2,9,2,35,Medium
89,11,4,5,13,16,High
95,13,5,16,2,2,Low
49,17,2,24,12,9,Medium
44,22,1,5,14,39,Medium
62,9,7,3,17,17,High
49,17,1,19,13,2,Medium
83,8,8,2,2,38,Medium
41,6,3,22,18,9,High
52,20,6,18,7,8,Medium
79,13,7,17,3,10,Medium
41,13,1,23,3,32,Medium
59,10,6,3,18,35,High
40,15,7,7,10,25,Medium
76,5,6,16,0,26,Low
48,8,4,4,7,37,High
56,17,1,12,14,21,Medium
48,17,9,24,0,25,Low
50,17,4,0,6,21,Medium
54,6,7,12,19,4,High
63,13,7,3,19,34,Low
77,12,2,21,10,1,Low
94,11,1,23,13,34,Medium
74,8,8,13,15,8,Medium
69,22,8,2,13,17,Medium
70,7,7,4,11,11,Medium
88,10,8,6,16,2,High
44,16,3,0,13,17,High
99,16,2,22,9,37,Low
83,12,7,11,13,6,Low
89,5,8,10,17,32,Low
53,8,1,23,8,5,High
92,15,9,7,16,17,Medium
95,7,4,24,5,21,Medium
50,17,4,5,7,38,Medium
48,21,3,21,12,8,Medium
73,14,6,1,17,34,Low
51,16,1,18,4,22,Medium
74,19,6,19,5,11,Low
74,14,2,19,18,23,Low
40,18,9,23,3,39,Low
79,17,2,13,6,8,Medium
61,9,7,0,3,12,High
99,10,1,9,10,39,Medium
68,6,7,15,11,16,Medium
47,21,5,3,13,6,Medium
50,8,8,10,12,16,High
80,18,4,15,9,23,Low
76,14,7,19,17,1,Low
53,7,6,0,15,34,High
99,7,5,15,4,27,Medium
69,19,4,18,7,18,Low
74,10,7,20,13,32,Low
60,21,5,21,4,20,Low
76,16,5,8,7,9,Medium
44,24,1,8,5,8,High
58,15,2,8,15,37,Medium
98,8,5,16,3,5,Medium
53,10,3,11,11,34,Medium
65,5,2,24,10,17,Medium
43,24,4,12,2,18,Low
64,20,4,7,11,4,Medium
84,19,4,15,4,24,Low
81,21,4,17,5,10,Low
64,12,3,0,18,9,Medium
57,16,7,0,17,16,Medium
79,14,9,11,15,35,Low
47,19,5,5,10,25,Medium
78,13,4,8,4,30,Low
79,6,2,22,8,31,Low
53,9,2,4,2,20,High
71,10,5,15,7,17,Medium
90,11,7,17,5,17,Medium
77,5,9,16,3,0,Medium
72,11,7,17,11,13,Medium
62,24,5,0,11,7,Medium
54,16,6,18,15,1,Medium
72,20,3,21,9,14,Low
64,20,5,7,13,33,Low
56,15,8,2,12,35,Medium
72,8,1,24,8,0,Medium
86,17,1,4,6,20,Medium
94,11,7,22,11,0,Medium
41,8,5,7,4,31,High
53,19,5,18,17,19,Low
92,23,1,17,3,35,Low
79,13,9,17,1,38,Low
79,15,1,20,2,29,Low
90,12,5,0,11,6,Medium
78,5,9,14,2,21,Low
90,12,4,17,3,9,Medium
45,17,8,24,5,7,Medium
45,8,6,6,11,26,High
42,12,3,15,18,9,Medium
46,7,4,15,9,13,High
90,13,2,14,0,10,Medium
47,6,1,5,16,5,High
81,6,8,8,15,20,Medium
91,17,1,6,8,32,Medium
54,19,1,13,8,18,Medium
86,16,4,10,8,38,Low
68,8,6,20,11,23,Low
72,12,9,15,8,17,Low
91,13,1,24,14,34,Low
69,9,7,5,1,36,Medium
78,24,5,21,10,18,Low
66,22,8,15,10,23,Low
75,15,7,19,7,33,Low
68,19,4,15,5,21,Low
77,13,4,11,19,3,Low
96,21,6,16,6,9,Low
72,16,6,4,2,1,Medium
76,11,9,24,7,7,Medium
66,14,5,12,17,32,Low
94,14,8,7,16,37,Low
72,17,5,23,10,27,Low
43,23,2,4,1,9,High
61,15,6,11,18,0,Low
41,17,9,8,6,33,Medium
49,12,3,2,17,2,High
44,12,1,2,7,8,High
98,8,1,0,13,4,High
49,19,3,24,6,9,Medium
72,15,5,21,3,11,Medium
93,15,3,17,16,17,Low
77,5,9,23,4,20,Low
52,21,8,11,11,20,Low
70,19,3,8,8,0,Medium
86,24,9,8,19,2,Medium
75,10,6,17,12,4,Medium
84,19,7,17,17,24,Low
63,13,4,6,19,7,Medium
91,18,4,3,8,16,Medium
95,22,2,12,3,8,Medium
54,21,5,16,7,31,Low
68,22,8,23,0,5,Low
47,9,7,1,16,39,Medium
44,24,7,13,8,20,Low
68,24,6,2,19,6,Medium
86,13,3,4,12,6,Medium
43,15,5,13,1,38,Medium
51,5,1,2,12,26,High
84,22,7,22,8,7,Low
41,10,9,6,19,8,High
66,6,1,17,5,27,Medium
70,19,2,12,0,14,Medium
90,18,3,22,4,1,Medium
90,9,3,21,2,6,Medium
75,10,8,9,3,17,High
75,10,7,24,0,21,Low
65,22,6,12,13,9,Low
82,18,4,15,8,32,Low
66,14,9,8,3,6,Medium
44,18,1,1,17,2,High
59,17,2,22,13,13,Medium
50,7,4,4,3,35,High
49,10,3,21,9,12,High
79,12,1,16,2,15,Medium
77,16,5,22,6,15,Medium
45,17,7,21,9,4,Medium
47,15,2,3,12,24,Medium
62,16,5,16,3,37,Low
86,5,6,8,17,37,Medium
65,21,7,19,10,37,Low
85,20,1,1,3,38,Medium
82,15,7,23,13,25,Low
51,17,4,17,17,12,Medium
65,22,8,20,7,25,Low
52,15,4,21,9,0,Medium
79,16,6,10,4,7,Medium
57,10,9,12,6,3,High
64,13,5,7,11,20,Low
72,20,4,0,2,21,Medium
86,8,8,16,3,36,Medium
79,7,9,11,9,2,Medium
99,20,4,3,3,18,Medium
82,16,3,20,14,0,Low
51,15,8,12,9,28,Low
83,9,5,8,15,22,Medium
75,22,2,6,14,32,Low
87,23,9,22,18,22,Low
43,10,3,23,19,4,High
44,22,2,4,18,6,High
95,10,1,4,17,5,High
76,8,8,16,11,21,Low
47,16,3,8,15,12,High
81,23,7,5,0,11,Medium
88,6,1,24,15,3,Medium
67,21,1,18,1,7,Medium
70,15,9,15,14,36,Low
97,15,8,20,6,30,Low
48,20,3,1,0,36,High
93,6,6,9,4,25,Medium
90,6,3,15,9,7,Medium
68,12,4,4,3,39,Low
53,17,1,14,13,32,Medium
79,14,5,12,12,28,Low
80,12,1,12,0,4,Medium
61,8,1,12,15,27,Low
50,19,7,14,8,39,Low
62,5,6,13,15,16,Medium
40,15,2,7,18,22,Medium
85,11,2,10,14,8,Medium
76,21,7,17,13,1,Low
60,24,1,23,19,31,Low
65,22,2,3,9,30,Low
85,16,8,9,11,6,Medium
75,13,6,0,0,29,Medium
93,9,2,4,16,2,High
62,14,7,12,8,8,Low
96,8,4,0,18,9,Medium
40,9,2,22,17,25,Medium
93,14,6,7,6,0,Medium
94,15,9,2,8,29,Low
90,14,9,2,11,37,Low
79,12,8,6,6,14,Medium
54,6,3,3,13,24,High
60,12,3,2,14,5,Medium
86,20,2,14,14,17,Medium
48,9,5,7,5,0,High
92,7,4,2,13,2,High
48,16,7,6,1,16,High
49,17,4,17,7,7,Medium
91,17,9,10,12,39,Low
96,14,2,10,5,16,Medium
92,8,6,16,4,24,Low
65,13,7,5,4,11,Medium
80,6,4,7,0,28,Medium
74,23,6,0,8,24,Low
91,5,7,9,5,35,Medium
64,11,4,24,19,24,Low
65,21,8,18,6,28,Low
50,7,9,2,8,10,High
77,24,1,3,4,3,High
41,24,7,10,13,13,Medium
46,7,9,14,4,37,Medium
57,7,5,0,7,16,High
66,21,2,8,6,1,Medium
73,11,6,10,12,7,Medium
66,18,7,18,12,35,Low
56,21,2,12,7,9,Medium
82,22,2,15,10,6,Low
98,17,1,3,17,35,Low
83,24,4,0,18,15,Medium
98,24,7,19,5,13,Low
90,22,9,12,1,15,Medium
93,8,3,0,12,24,Medium
63,5,7,4,10,3,High
64,22,7,4,0,28,Medium
46,5,7,13,1,5,High
91,17,2,22,16,0,Medium
45,24,6,13,7,38,Low
92,24,2,7,1,0,High
63,14,6,3,5,39,Low
72,15,3,6,4,2,Medium
88,13,2,19,15,0,Medium
68,13,6,18,7,0,Medium
82,9,2,14,18,38,Low
61,5,5,21,15,20,Low
65,21,2,3,12,29,Medium
67,6,3,18,19,31,Low
89,17,3,8,6,32,Medium
60,13,6,20,15,21,Low
88,8,6,12,15,29,Low
46,9,3,13,11,3,High
56,15,3,22,13,22,Low
59,23,1,13,17,24,Medium
80,7,7,21,17,11,Medium
88,16,8,9,15,16,Medium
59,23,2,15,19,14,Medium
93,23,4,4,15,9,Medium
61,17,7,22,12,34,Low
67,11,8,5,8,28,Medium
79,19,1,1,8,11,Medium
88,11,4,12,12,0,Medium
46,12,6,12,3,0,Medium
40,9,3,18,8,9,High
71,18,5,17,14,17,Low
52,8,9,18,13,1,High
69,14,3,0,18,7,Medium
62,24,5,7,11,21,Low
90,19,8,21,5,21,Low
98,22,6,15,2,25,Low
95,24,4,1,19,25,Low
58,17,8,7,15,8,Medium
71,12,3,5,19,20,Low
69,13,3,15,16,30,Low
68,20,4,22,15,5,Low
88,23,9,10,5,13,Low
84,20,5,16,7,32,Low
68,11,8,22,18,6,Medium
69,18,6,18,1,23,Low
55,18,3,10,13,8,Medium
79,8,8,7,11,10,Medium
58,19,9,21,16,22,Low
57,7,8,3,14,1,High
40,9,4,10,17,14,High
53,5,6,7,15,34,High
90,7,1,8,12,35,Medium
86,19,4,1,16,27,Low
89,12,8,15,7,38,Low
41,8,1,5,0,3,High
93,6,3,20,2,9,Medium
67,14,1,20,15,5,Low
88,8,9,18,1,29,Low
89,7,2,7,14,34,Medium
69,6,9,13,0,9,Medium
77,21,4,23,8,31,Low
90,24,2,15,15,2,Medium
43,17,4,11,3,25,Medium
40,9,6,4,11,14,High
47,13,7,23,0,16,Medium
68,10,3,23,0,26,Medium
94,9,3,18,6,17,High
78,14,8,17,17,18,Low
42,12,5,8,14,11,High
71,11,4,1,12,23,Medium
49,11,7,24,15,4,Medium
49,10,7,19,6,23,Medium
58,24,9,11,15,26,Low
85,7,9,1,12,29,Medium
73,23,5,9,13,14,Medium
99,19,8,0,16,37,Low
72,8,1,3,11,33,Medium
62,16,9,24,19,26,Low
94,10,8,11,12,19,Low
67,23,6,8,19,31,Low
71,8,3,3,14,3,High
89,19,3,8,3,4,Medium
46,13,8,5,1,7,High
68,9,5,0,17,21,Medium
47,17,7,9,1,6,High
40,22,5,13,14,21,Low
96,9,8,21,18,29,Low
94,20,4,24,14,36,Low
42,23,2,17,19,15,Medium
63,18,3,5,9,14,Medium
62,20,8,17,19,4,Low
98,19,7,19,10,2,Low
47,8,2,15,9,22,Medium
93,11,6,14,4,9,Medium
96,20,9,15,8,4,Low
86,12,4,7,19,22,Low
76,21,9,12,18,14,Low
42,20,2,22,12,17,Medium
90,14,2,10,17,24,Low
72,14,9,24,16,7,Low
67,6,7,6,5,30,Medium
86,13,7,16,9,20,Low
47,21,1,17,1,1,High
73,15,6,21,5,21,Low
74,14,7,22,12,7,Low
71,21,6,18,17,22,Low
63,8,6,24,6,31,Low
53,20,2,12,1,7,Medium
71,24,6,14,13,3,Low
95,19,4,22,4,29,Low
85,9,9,21,17,18,Low
82,10,1,21,10,22,Low
55,21,8,0,9,17,Medium
43,5,5,15,10,28,Medium
91,23,1,4,1,22,Medium
76,8,4,2,14,32,Medium
93,21,1,22,6,17,Medium
60,13,6,9,8,32,Low
53,6,2,18,4,6,High
70,12,5,4,6,27,Medium
94,19,7,6,19,0,Medium
87,11,2,13,1,38,Medium
57,10,6,2,2,33,High
46,5,6,12,1,38,Medium
49,19,5,12,18,18,Low
46,11,5,9,3,30,High
72,21,3,1,19,12,Medium
62,6,2,5,6,23,Medium
60,13,7,7,6,4,Medium
58,13,1,3,16,22,Medium
87,17,6,24,18,18,Low
58,10,6,11,15,0,High
75,10,3,14,2,32,Medium
68,24,2,7,14,32,Medium
99,24,2,6,13,31,Medium
57,7,9,13,14,27,Medium
41,21,5,22,13,36,Low
40,21,7,18,6,11,Medium
86,16,5,13,2,8,Medium
44,20,7,21,16,10,Medium
59,19,4,12,9,32,Low
50,17,8,20,14,18,Low
81,5,7,0,5,33,Medium
41,21,5,18,16,6,Medium
42,7,6,0,16,30,High
62,19,5,3,13,1,Medium
94,8,7,9,17,18,Medium
51,8,2,2,4,37,High
59,22,5,19,7,31,Low
44,21,3,8,6,9,High
76,23,9,2,3,7,Medium
77,15,6,5,17,25,Low
69,24,3,5,4,29,Medium
48,7,7,22,15,10,Medium
73,12,4,24,13,19,Low
92,18,3,11,18,19,Low
83,5,8,22,13,8,Medium
74,18,4,0,8,7,Medium
91,6,1,15,5,14,Medium
97,8,6,23,16,33,Low
61,23,1,4,18,23,Low
83,10,5,8,11,32,Medium
63,5,7,9,3,39,Medium
56,21,6,12,15,26,Low
49,12,2,14,10,20,Low
69,23,4,11,3,4,Medium
95,5,2,4,16,34,Medium
98,9,1,4,7,20,Medium
85,20,3,17,13,3,Medium
62,10,3,11,1,15,High
71,12,7,2,10,30,Low
56,17,1,24,10,25,Low
89,20,9,6,5,34,Low
90,7,6,16,13,5,Medium
56,23,4,18,9,32,Low
53,16,3,17,7,20,Medium
48,20,3,0,6,15,High
79,15,2,24,7,38,Low
41,14,2,23,7,33,Medium
84,24,5,4,1,14,Medium
64,8,9,1,15,5,Medium
78,16,2,0,8,1,Medium
48,6,2,6,12,23,High
93,23,6,10,11,27,Low
61,9,2,10,16,0,Medium
82,12,4,17,1,0,Low
85,11,6,16,12,27,Low
43,18,5,1,0,35,Medium
65,7,1,6,18,19,Medium
97,22,6,6,10,7,Medium
68,20,1,9,4,0,Medium
84,23,3,21,0,25,Low
73,23,5,20,19,24,Low
62,22,5,2,12,9,Medium
76,24,6,11,7,11,Low
50,20,8,2,5,6,High
45,12,5,10,16,11,Medium
57,5,1,11,11,39,Medium
60,21,5,24,0,16,Low
81,16,3,3,2,4,Medium
75,15,4,24,13,13,Low
80,9,8,15,7,33,Medium
77,16,7,19,10,16,Low
73,21,5,17,13,34,Low
56,10,2,3,7,0,High
76,5,6,21,2,35,Medium
64,9,6,5,6,14,High
77,18,6,20,18,18,Low
97,9,9,14,3,4,Medium
51,5,8,0,15,18,High
62,22,8,2,12,38,Low
92,20,1,4,19,4,Medium
81,13,5,21,18,11,Low
61,23,7,16,4,18,Low
60,9,6,13,4,11,Medium
66,6,5,8,19,35,Medium
96,19,8,2,3,11,Medium
70,11,3,12,1,17,Medium
45,8,6,2,12,33,High
66,5,5,10,15,32,Low
79,17,8,1,1,17,Medium
73,24,4,23,18,28,Low
51,11,8,14,16,4,Medium
84,19,2,12,4,24,Low
96,18,9,18,17,23,Low
92,23,9,21,17,28,Low
46,24,6,15,7,37,Medium
49,22,4,17,14,32,Low
84,14,4,6,12,9,Medium
56,13,6,12,12,36,Low
65,12,5,3,15,32,Low
60,14,6,8,19,22,Low
67,21,7,9,12,10,Medium
97,6,7,8,19,23,Medium
85,10,9,6,1,23,Medium
41,9,8,14,2,6,High
99,13,6,7,14,20,Low
93,9,6,18,18,19,Low
82,22,5,10,12,9,Low
40,24,1,4,4,24,Medium
90,13,9,1,5,35,Medium
92,21,9,9,13,14,Medium
75,21,9,15,3,39,Low
90,16,8,22,18,39,Low
65,11,3,12,6,5,Medium
68,7,1,7,3,36,Medium
60,14,8,8,1,1,Medium
50,6,7,10,6,11,High
79,7,5,10,2,3,Medium
50,20,7,22,14,22,Low
75,6,4,15,0,12,Medium
88,14,9,9,1,16,Medium
98,10,2,23,9,30,Medium
78,15,9,11,15,15,Low
79,11,9,24,14,25,Low
74,19,5,5,14,27,Low
93,10,1,11,13,0,Medium
73,24,7,9,13,11,Medium
94,13,4,17,5,36,Low
86,24,9,17,13,19,Low
63,16,6,3,16,1,Medium
93,23,3,8,17,35,Medium
61,24,6,6,19,14,Medium
44,7,6,17,18,37,Medium
95,19,5,7,16,21,Low
72,6,2,10,15,31,Low
97,6,2,6,7,19,High
75,7,7,8,6,35,Medium
86,10,2,7,19,32,Medium
59,19,6,2,11,14,High
58,14,5,16,8,2,Medium
74,13,4,1,13,28,Low
91,5,7,14,19,26,Low
82,20,8,13,0,4,Low
56,10,4,17,9,30,Medium
98,13,1,15,16,21,Low
84,8,1,19,16,34,Medium
82,6,1,21,16,6,Medium
73,8,1,3,3,5,High
48,5,5,24,16,25,Medium
